Title,Year,is_selected,do_finetuning,decision_threshold,Source title
Recurring bug fixes in object-oriented programs,2010,no,,,Proceedings - International Conference on Software Engineering
Quantification of interacting runtime qualities in software architectures: Insights from transaction processing in client-server architectures,2010,no,,,Information and Software Technology
The importance of data quality in software reliability modeling,2010,no,,,"Proceedings - International Symposium on Software Reliability Engineering, ISSRE"
Automata-based verification of security requirements of composite web services,2010,no,,,"Proceedings - International Symposium on Software Reliability Engineering, ISSRE"
"Keeping up with your friends: Function foo, library Bar.DLL, and work item 24",2010,no,,,Proceedings - International Conference on Software Engineering
Prediction of performance anomalies in web-applications based-on software aging scenarios,2010,no,,,"Proceedings - International Symposium on Software Reliability Engineering, ISSRE"
Traceability-centric model-driven object-oriented engineering,2010,no,,,Information and Software Technology
A taxonomy of software architecture-based reliability efforts,2010,no,,,Proceedings - International Conference on Software Engineering
The impact of coupling on the fault-proneness of aspect-oriented programs: An empirical study,2010,no,,,"Proceedings - International Symposium on Software Reliability Engineering, ISSRE"
Towards integrating e-mail communication in the IDE,2010,no,,,Proceedings - International Conference on Software Engineering
Evaluating logistic regression models to estimate software project outcomes,2010,no,,,Information and Software Technology
Systematic literature reviews in software engineering-A tertiary study,2010,no,,,Information and Software Technology
Survival analysis on the duration of open source projects,2010,no,,,Information and Software Technology
Towards a Bayesian approach in modeling the disclosure of unique security faults in open source projects,2010,no,,,"Proceedings - International Symposium on Software Reliability Engineering, ISSRE"
Mining API mapping for language migration,2010,no,,,Proceedings - International Conference on Software Engineering
Bayesian methods for data analysis in software engineering,2010,no,,,Proceedings - International Conference on Software Engineering
Exploring the relationship of a file's history and its fault-proneness: An empirical method and its application to open source programs,2010,no,,,Information and Software Technology
Characterizing failures in mobile OSes: A case study with android and symbian,2010,no,,,"Proceedings - International Symposium on Software Reliability Engineering, ISSRE"
Linking e-mails and source code artifacts,2010,no,,,Proceedings - International Conference on Software Engineering
Failure preventing recommendations,2010,no,,,Proceedings - International Conference on Software Engineering
Practical considerations in deploying statistical methods for defect prediction: A case study within the Turkish telecommunications industry,2010,yes,no,tuned,Information and Software Technology
