"file","group","model","scorer","mean","median"
"activemq-5.0.0",1,"FFT","MCC",0.31,0.31
"activemq-5.0.0",1,"FFT","Gmean",0.31,0.31
"activemq-5.0.0",2,"FFT","ACC",0.27,0.27
"activemq-5.0.0",1,"FFT","BAL_ACC",0.31,0.31
"activemq-5.0.0",1,"FFT","F1",0.31,0.31
"activemq-5.0.0",1,"FFT","F1_W",0.31,0.31
"activemq-5.1.0",2,"FFT","MCC",0.43,0.43
"activemq-5.1.0",4,"FFT","Gmean",0.29,0.29
"activemq-5.1.0",5,"FFT","ACC",0.19,0.19
"activemq-5.1.0",4,"FFT","BAL_ACC",0.29,0.29
"activemq-5.1.0",1,"FFT","F1",0.49,0.49
"activemq-5.1.0",3,"FFT","F1_W",0.39,0.39
"derby-10.2.1.6",1,"FFT","MCC",0.42,0.42
"derby-10.2.1.6",1,"FFT","Gmean",0.42,0.42
"derby-10.2.1.6",2,"FFT","ACC",0.41,0.41
"derby-10.2.1.6",1,"FFT","BAL_ACC",0.42,0.42
"derby-10.2.1.6",1,"FFT","F1",0.42,0.42
"derby-10.2.1.6",2,"FFT","F1_W",0.41,0.41
"derby-10.3.1.4",1,"FFT","MCC",0.29,0.29
"derby-10.3.1.4",3,"FFT","Gmean",0.16,0.16
"derby-10.3.1.4",2,"FFT","ACC",0.23,0.23
"derby-10.3.1.4",1,"FFT","BAL_ACC",0.29,0.29
"derby-10.3.1.4",1,"FFT","F1",0.29,0.29
"derby-10.3.1.4",1,"FFT","F1_W",0.29,0.29
"activemq-5.2.0",2,"FFT","MCC",0.32,0.32
"activemq-5.2.0",2,"FFT","Gmean",0.32,0.32
"activemq-5.2.0",1,"FFT","ACC",0.33,0.33
"activemq-5.2.0",2,"FFT","BAL_ACC",0.32,0.32
"activemq-5.2.0",2,"FFT","F1",0.32,0.32
"activemq-5.2.0",3,"FFT","F1_W",0.31,0.31
"activemq-5.3.0",3,"FFT","MCC",0.25,0.25
"activemq-5.3.0",3,"FFT","Gmean",0.25,0.25
"activemq-5.3.0",1,"FFT","ACC",0.33,0.33
"activemq-5.3.0",3,"FFT","BAL_ACC",0.25,0.25
"activemq-5.3.0",3,"FFT","F1",0.25,0.25
"activemq-5.3.0",2,"FFT","F1_W",0.28,0.28
"groovy-1_5_7",1,"FFT","MCC",0.4,0.4
"groovy-1_5_7",2,"FFT","Gmean",0.32,0.32
"groovy-1_5_7",4,"FFT","ACC",0.28,0.28
"groovy-1_5_7",2,"FFT","BAL_ACC",0.32,0.32
"groovy-1_5_7",1,"FFT","F1",0.4,0.4
"groovy-1_5_7",3,"FFT","F1_W",0.3,0.3
"groovy-1_6_BETA_1",1,"FFT","MCC",0.35,0.35
"groovy-1_6_BETA_1",2,"FFT","Gmean",0.31,0.31
"groovy-1_6_BETA_1",5,"FFT","ACC",0.22,0.22
"groovy-1_6_BETA_1",2,"FFT","BAL_ACC",0.31,0.31
"groovy-1_6_BETA_1",3,"FFT","F1",0.26,0.26
"groovy-1_6_BETA_1",4,"FFT","F1_W",0.23,0.23
"hbase-0.94.0",1,"FFT","MCC",0.33,0.33
"hbase-0.94.0",2,"FFT","Gmean",0.32,0.32
"hbase-0.94.0",3,"FFT","ACC",0.28,0.28
"hbase-0.94.0",2,"FFT","BAL_ACC",0.32,0.32
"hbase-0.94.0",2,"FFT","F1",0.32,0.32
"hbase-0.94.0",2,"FFT","F1_W",0.32,0.32
"hbase-0.95.0",1,"FFT","MCC",0.37,0.37
