"file","group","model","scorer","mean","median"
"activemq-5.0.0",1,"DT","MCC",0.31,0.31
"activemq-5.0.0",4,"DT","LogLoss",-0.12,-0.12
"activemq-5.0.0",1,"DT","Gmean",0.31,0.31
"activemq-5.0.0",1,"DT","ACC",0.31,0.31
"activemq-5.0.0",2,"DT","BAL_ACC",-0.03,-0.03
"activemq-5.0.0",3,"DT","AUC",-0.06,-0.06
"activemq-5.0.0",1,"DT","F1",0.31,0.31
"activemq-5.0.0",1,"DT","F1_W",0.31,0.31
"activemq-5.0.0",5,"RF","MCC",-0.12,-0.12
"activemq-5.0.0",4,"RF","LogLoss",-0.06,-0.06
"activemq-5.0.0",5,"RF","Gmean",-0.12,-0.12
"activemq-5.0.0",3,"RF","ACC",0.31,0.31
"activemq-5.0.0",2,"RF","BAL_ACC",0.35,0.35
"activemq-5.0.0",1,"RF","AUC",0.38,0.38
"activemq-5.0.0",5,"RF","F1",-0.12,-0.12
"activemq-5.0.0",5,"RF","F1_W",-0.12,-0.12
"activemq-5.0.0",1,"KNN","MCC",0.33,0.33
"activemq-5.0.0",3,"KNN","LogLoss",0.28,0.28
"activemq-5.0.0",3,"KNN","Gmean",0.28,0.28
"activemq-5.0.0",1,"KNN","ACC",0.33,0.33
"activemq-5.0.0",3,"KNN","BAL_ACC",0.28,0.28
"activemq-5.0.0",2,"KNN","AUC",0.32,0.32
"activemq-5.0.0",1,"KNN","F1",0.33,0.33
"activemq-5.0.0",1,"KNN","F1_W",0.33,0.33
"activemq-5.1.0",4,"DT","MCC",0.3,0.3
"activemq-5.1.0",3,"DT","LogLoss",0.33,0.33
"activemq-5.1.0",6,"DT","Gmean",0.28,0.28
"activemq-5.1.0",4,"DT","ACC",0.3,0.3
"activemq-5.1.0",2,"DT","BAL_ACC",0.34,0.34
"activemq-5.1.0",1,"DT","AUC",0.41,0.41
"activemq-5.1.0",7,"DT","F1",0.24,0.24
"activemq-5.1.0",5,"DT","F1_W",0.29,0.29
"activemq-5.1.0",1,"RF","MCC",0.47,0.47
"activemq-5.1.0",1,"RF","LogLoss",0.47,0.47
"activemq-5.1.0",4,"RF","Gmean",0.3,0.3
"activemq-5.1.0",5,"RF","ACC",0,0
"activemq-5.1.0",3,"RF","BAL_ACC",0.33,0.33
"activemq-5.1.0",2,"RF","AUC",0.41,0.41
"activemq-5.1.0",1,"RF","F1",0.47,0.47
"activemq-5.1.0",5,"RF","F1_W",0,0
"activemq-5.1.0",6,"KNN","MCC",0.18,0.18
"activemq-5.1.0",4,"KNN","LogLoss",0.2,0.2
"activemq-5.1.0",1,"KNN","Gmean",0.28,0.28
"activemq-5.1.0",5,"KNN","ACC",0.19,0.19
"activemq-5.1.0",2,"KNN","BAL_ACC",0.27,0.27
"activemq-5.1.0",3,"KNN","AUC",0.23,0.23
"activemq-5.1.0",2,"KNN","F1",0.27,0.27
"activemq-5.1.0",6,"KNN","F1_W",0.18,0.18
"derby-10.2.1.6",4,"DT","MCC",0.38,0.38
"derby-10.2.1.6",1,"DT","LogLoss",0.42,0.42
"derby-10.2.1.6",2,"DT","Gmean",0.41,0.41
"derby-10.2.1.6",4,"DT","ACC",0.38,0.38
"derby-10.2.1.6",2,"DT","BAL_ACC",0.41,0.41
"derby-10.2.1.6",3,"DT","AUC",0.39,0.39
"derby-10.2.1.6",2,"DT","F1",0.41,0.41
"derby-10.2.1.6",4,"DT","F1_W",0.38,0.38
"derby-10.2.1.6",4,"RF","MCC",0.41,0.41
"derby-10.2.1.6",1,"RF","LogLoss",0.46,0.46
"derby-10.2.1.6",1,"RF","Gmean",0.46,0.46
"derby-10.2.1.6",3,"RF","ACC",0.43,0.43
"derby-10.2.1.6",4,"RF","BAL_ACC",0.41,0.41
"derby-10.2.1.6",2,"RF","AUC",0.44,0.44
"derby-10.2.1.6",3,"RF","F1",0.43,0.43
"derby-10.2.1.6",2,"RF","F1_W",0.44,0.44
"derby-10.2.1.6",1,"KNN","MCC",0.49,0.49
"derby-10.2.1.6",3,"KNN","LogLoss",0.45,0.45
"derby-10.2.1.6",3,"KNN","Gmean",0.45,0.45
"derby-10.2.1.6",1,"KNN","ACC",0.49,0.49
"derby-10.2.1.6",1,"KNN","BAL_ACC",0.49,0.49
"derby-10.2.1.6",2,"KNN","AUC",0.48,0.48
"derby-10.2.1.6",3,"KNN","F1",0.45,0.45
"derby-10.2.1.6",1,"KNN","F1_W",0.49,0.49
"derby-10.3.1.4",2,"DT","MCC",0.32,0.32
"derby-10.3.1.4",2,"DT","LogLoss",0.32,0.32
"derby-10.3.1.4",5,"DT","Gmean",0.29,0.29
"derby-10.3.1.4",5,"DT","ACC",0.29,0.29
"derby-10.3.1.4",3,"DT","BAL_ACC",0.31,0.31
"derby-10.3.1.4",4,"DT","AUC",0.3,0.3
"derby-10.3.1.4",1,"DT","F1",0.35,0.35
"derby-10.3.1.4",5,"DT","F1_W",0.29,0.29
"derby-10.3.1.4",2,"RF","MCC",0.4,0.4
"derby-10.3.1.4",2,"RF","LogLoss",0.4,0.4
"derby-10.3.1.4",3,"RF","Gmean",0.38,0.38
"derby-10.3.1.4",5,"RF","ACC",0.29,0.29
"derby-10.3.1.4",4,"RF","BAL_ACC",0.37,0.37
"derby-10.3.1.4",1,"RF","AUC",0.42,0.42
"derby-10.3.1.4",1,"RF","F1",0.42,0.42
"derby-10.3.1.4",1,"RF","F1_W",0.42,0.42
"derby-10.3.1.4",3,"KNN","MCC",0.35,0.35
"derby-10.3.1.4",2,"KNN","LogLoss",0.37,0.37
"derby-10.3.1.4",3,"KNN","Gmean",0.35,0.35
"derby-10.3.1.4",2,"KNN","ACC",0.37,0.37
"derby-10.3.1.4",3,"KNN","BAL_ACC",0.35,0.35
"derby-10.3.1.4",1,"KNN","AUC",0.38,0.38
"derby-10.3.1.4",3,"KNN","F1",0.35,0.35
"derby-10.3.1.4",3,"KNN","F1_W",0.35,0.35
"activemq-5.2.0",5,"DT","MCC",0.32,0.32
"activemq-5.2.0",4,"DT","LogLoss",0.33,0.33
"activemq-5.2.0",3,"DT","Gmean",0.34,0.34
"activemq-5.2.0",5,"DT","ACC",0.32,0.32
"activemq-5.2.0",1,"DT","BAL_ACC",0.37,0.37
"activemq-5.2.0",2,"DT","AUC",0.36,0.36
"activemq-5.2.0",5,"DT","F1",0.32,0.32
"activemq-5.2.0",5,"DT","F1_W",0.32,0.32
"activemq-5.2.0",4,"RF","MCC",0.32,0.32
"activemq-5.2.0",2,"RF","LogLoss",0.37,0.37
"activemq-5.2.0",3,"RF","Gmean",0.35,0.35
"activemq-5.2.0",4,"RF","ACC",0.32,0.32
"activemq-5.2.0",1,"RF","BAL_ACC",0.38,0.38
"activemq-5.2.0",2,"RF","AUC",0.37,0.37
"activemq-5.2.0",5,"RF","F1",0.31,0.31
"activemq-5.2.0",4,"RF","F1_W",0.32,0.32
"activemq-5.2.0",3,"KNN","MCC",0.32,0.32
"activemq-5.2.0",4,"KNN","LogLoss",0.3,0.3
"activemq-5.2.0",3,"KNN","Gmean",0.32,0.32
"activemq-5.2.0",3,"KNN","ACC",0.32,0.32
"activemq-5.2.0",3,"KNN","BAL_ACC",0.32,0.32
"activemq-5.2.0",1,"KNN","AUC",0.34,0.34
"activemq-5.2.0",2,"KNN","F1",0.33,0.33
"activemq-5.2.0",3,"KNN","F1_W",0.32,0.32
"activemq-5.3.0",6,"DT","MCC",0,0
"activemq-5.3.0",3,"DT","LogLoss",0.22,0.22
"activemq-5.3.0",5,"DT","Gmean",0.19,0.19
"activemq-5.3.0",2,"DT","ACC",0.25,0.25
"activemq-5.3.0",4,"DT","BAL_ACC",0.2,0.2
"activemq-5.3.0",6,"DT","AUC",0,0
"activemq-5.3.0",1,"DT","F1",0.27,0.27
"activemq-5.3.0",1,"DT","F1_W",0.27,0.27
"activemq-5.3.0",2,"RF","MCC",0.23,0.23
"activemq-5.3.0",1,"RF","LogLoss",0.24,0.24
"activemq-5.3.0",4,"RF","Gmean",0.21,0.21
"activemq-5.3.0",5,"RF","ACC",0,0
"activemq-5.3.0",3,"RF","BAL_ACC",0.22,0.22
"activemq-5.3.0",2,"RF","AUC",0.23,0.23
"activemq-5.3.0",1,"RF","F1",0.24,0.24
